processed_text,vader_sentiment
jelek,0.0
top up wallet gk masuk parah nyusahin orang aja pas gk cash plus kaya scam aja,0.0
selamat titik,1.0
sangat bagus,1.0
bagus recommended,1.0
recomended,1.0
baru pertama mau guna kaspro eh udah transfer saldo ga masuk apa nih urgent mau pake malah zonk entah skrg duit tuh gaya mau cashless sistem ga support,1.0
buruk,0.0
ubah map nya sesuai ky grab ama gojek kadang driver nya ngeluh patok gk sesuai depan baik,1.0
driver sangat ramah,1.0
layan baik driver ramah kendara bersih aman tuju,1.0
ramah,1.0
jelek banget skrg udah lama cari drivernya terus udah lama malah makin mahal,0.0
mantap,1.0
ramah,1.0
kurang mantap,1.0
sangat ramah,1.0
driver maxim makin hari makin suka khusus driver mobil bukan kasar suka naik harga jab bukan ribu sampe ratus khusus driver atas nama roland m sau daihatsu sigra wrna putih nopol dhdk naik harga bukan main yg harga awal rp jadi rp padahal orang hnya ad keyboard gereja yg bawa ubah jadi cargo notice orang makan banyak korban,1.0
aplikasi nya ga jelas maps nya ga jelas semua tempat yg maksud gaada titik ny pdhl aplikasi akses maps nya mudah rekomendasi tempat ga jelas tololng lah tingkat aplikasi nya serba susah nyari tuju,0.0
bagus banget,1.0
bagus,1.0
masa sen makan jarak ga nyampe km ongkos nya sampek k,0.0
sangat baik,1.0
nice,1.0
mantap,1.0
isi saldo maxsim saldo ga masuktiba tiba dompet blokirrrrdasar apk ga jelas balikin duit guaa woyyyy,0.0
supir ramah n baik,1.0
mobil bersih,1.0
salah kasih titik jual buat driver nya marah benarin kali lahh ah kocak titik jual nya cuma jual ayam geprek apk nya tulis jual sate emang aneh,1.0
loading lama hp spek itel p nfc aja ram gb aja ngak masuk,0.0
ramah baik cepat mantap,1.0
apk kurang jelas udh kode gak kirim pake telfon mati sendiri udh gak usah operasi nih aplikasi,0.0
baik,1.0
aplikasi bloon gua kaga sen apa apa tiba tiba drivernya bego banget,0.0
trima kasih barang aman driver baik ramah,1.0
driver baik ramah,1.0
terimakasih maxim puas guna jasa maxim harga rakyat,1.0
baik mud,1.0
mantap,1.0
bagus,1.0
baik,1.0
abang nya ramah bgt wangi bgt,1.0
yah transaksi non tunai masuk driver nya bikin orang salah paham aja,0.0
mau log in kode otp gak masuk masuk udah berapa hari coba,0.0
kurang maxim akurasi map google map tunjuk bengkel maxim malah laundry jangan korban salah tuju gegara maxim,1.0
hari pakai maxim karna mertua cinta maxim garis keras beliau selalu minta oderin maxim kesel sama peta nya susah cari titik tuju edit ulasanya kalo aplikasi udah baik peta,1.0
nyaman,1.0
ribet bangetmnta kode gak kasih kasih ganti nomor coba gak,1.0
buruk banget mau order pake mobil aja driver nya banyak tingkah padahal bayar sombong bintang satu deh,0.0
sangat bagus,1.0
terimakasih atas layan,1.0
br pertama kali download lngsng dpt driver curang,0.0
abnang nya ramahpelayanan okemakasih mqxim,1.0
susah banget login nya udh nomor nunggu otp ngga muncultaunya udh lebih batas baik layan kok gak jelas,0.0
baik,1.0
baikk ih tadi slah klik jmpol kbawah maaf,0.0
