hidden_dim,dropout,n_layers,learning_rate,batch_size,epoch,train_loss,train_acc,train_f1,valid_loss,valid_acc,valid_f1,time_mins,time_secs
64,0.3,2,0.001,32,1,0.379,81.636,0.702,0.253,87.978,0.8,0,26
64,0.3,2,0.001,32,2,0.167,93.338,0.9,0.273,89.074,0.819,0,22
64,0.3,2,0.001,32,3,0.09,96.79,0.951,0.292,89.919,0.838,0,25
64,0.3,2,0.001,32,4,0.053,98.192,0.972,0.443,89.029,0.831,0,23
64,0.3,2,0.001,32,5,0.033,98.89,0.982,0.423,89.044,0.823,0,29
64,0.3,2,0.001,32,6,0.032,98.731,0.98,0.475,89.654,0.83,0,27
64,0.3,2,0.001,32,7,0.016,99.429,0.991,0.421,88.294,0.81,0,28
64,0.3,2,0.001,32,8,0.015,99.508,0.992,0.476,89.154,0.824,0,26
64,0.3,2,0.001,32,9,0.013,99.556,0.993,0.529,88.074,0.798,0,20
64,0.3,2,0.001,32,10,0.005,99.889,0.998,0.735,88.294,0.825,0,26
64,0.3,2,0.001,64,1,0.469,79.072,0.615,0.294,85.775,0.802,0,20
64,0.3,2,0.001,64,2,0.192,92.193,0.881,0.284,88.363,0.825,0,21
64,0.3,2,0.001,64,3,0.107,96.354,0.942,0.27,88.872,0.836,0,17
64,0.3,2,0.001,64,4,0.059,98.248,0.972,0.334,88.695,0.831,0,16
64,0.3,2,0.001,64,5,0.037,98.832,0.982,0.368,88.695,0.831,0,16
64,0.3,2,0.001,64,6,0.022,99.29,0.989,0.45,89.508,0.829,0,15
64,0.3,2,0.001,64,7,0.029,99.006,0.984,0.356,88.242,0.826,0,22
64,0.3,2,0.001,64,8,0.021,99.258,0.988,0.482,87.882,0.812,0,20
64,0.3,2,0.001,64,9,0.01,99.747,0.996,0.585,88.815,0.838,0,17
64,0.3,2,0.001,64,10,0.009,99.621,0.994,0.467,88.454,0.819,0,17
64,0.3,2,0.0001,32,1,0.662,68.1,0,0.626,69.676,0,0,19
64,0.3,2,0.0001,32,2,0.465,78.379,0.6,0.362,83.478,0.735,0,19
64,0.3,2,0.0001,32,3,0.29,88.314,0.824,0.308,86.728,0.794,0,19
64,0.3,2,0.0001,32,4,0.216,91.857,0.876,0.284,88.603,0.828,0,18
64,0.3,2,0.0001,32,5,0.165,94.543,0.915,0.275,89.574,0.838,0,18
64,0.3,2,0.0001,32,6,0.132,95.796,0.934,0.263,90.934,0.857,0,20
64,0.3,2,0.0001,32,7,0.106,96.78,0.949,0.258,92.044,0.87,0,22
64,0.3,2,0.0001,32,8,0.086,97.446,0.96,0.265,91.779,0.869,0,21
64,0.3,2,0.0001,32,9,0.071,98.033,0.969,0.266,91.669,0.863,0,22
64,0.3,2,0.0001,32,10,0.063,98.287,0.973,0.267,91.779,0.867,0,20
64,0.3,2,0.0001,64,1,0.694,45.286,0.185,0.68,68.128,0.025,0,15
64,0.3,2,0.0001,64,2,0.659,67.635,0.01,0.62,68.488,0.026,0,15
64,0.3,2,0.0001,64,3,0.494,78.562,0.583,0.405,82.141,0.722,0,14
64,0.3,2,0.0001,64,4,0.323,88.073,0.82,0.344,83.76,0.77,0,13
64,0.3,2,0.0001,64,5,0.249,91.198,0.869,0.343,84,0.757,0,15
64,0.3,2,0.0001,64,6,0.2,93.229,0.895,0.311,86.496,0.807,0,13
64,0.3,2,0.0001,64,7,0.163,94.807,0.919,0.293,87.938,0.828,0,13
64,0.3,2,0.0001,64,8,0.132,95.849,0.935,0.316,87.125,0.81,0,13
64,0.3,2,0.0001,64,9,0.111,96.875,0.951,0.284,90.286,0.862,0,14
64,0.3,2,0.0001,64,10,0.097,97.364,0.959,0.297,88.539,0.831,0,13
64,0.5,2,0.001,32,1,0.387,82.582,0.713,0.269,87.838,0.794,0,17
64,0.5,2,0.001,32,2,0.176,93.073,0.895,0.253,89.949,0.843,0,18
64,0.5,2,0.001,32,3,0.101,96.78,0.95,0.268,90.294,0.841,0,18
64,0.5,2,0.001,32,4,0.065,97.811,0.966,0.337,90.904,0.849,0,16
64,0.5,2,0.001,32,5,0.041,98.604,0.978,0.294,90.794,0.847,0,17
64,0.5,2,0.001,32,6,0.032,98.89,0.982,0.362,89.684,0.839,0,18
64,0.5,2,0.001,32,7,0.028,98.953,0.983,0.381,89.338,0.828,0,18
64,0.5,2,0.001,32,8,0.015,99.492,0.992,0.463,89.324,0.83,0,19
64,0.5,2,0.001,32,9,0.013,99.556,0.993,0.495,88.853,0.813,0,18
64,0.5,2,0.001,32,10,0.028,98.985,0.984,0.522,88.934,0.832,0,18
64,0.5,2,0.001,64,1,0.495,77.183,0.573,0.305,85.626,0.798,0,14
64,0.5,2,0.001,64,2,0.221,91.335,0.867,0.266,88.603,0.83,0,14
64,0.5,2,0.001,64,3,0.13,95.391,0.927,0.263,89.324,0.838,0,13
64,0.5,2,0.001,64,4,0.076,97.506,0.961,0.293,90.894,0.851,0,13
64,0.5,2,0.001,64,5,0.049,98.532,0.977,0.353,89.628,0.845,0,14
64,0.5,2,0.001,64,6,0.036,98.879,0.982,0.38,89.84,0.84,0,13
64,0.5,2,0.001,64,7,0.039,98.58,0.977,0.314,88.242,0.833,0,13
64,0.5,2,0.001,64,8,0.026,99.085,0.986,0.389,89.359,0.828,0,13
64,0.5,2,0.001,64,9,0.015,99.479,0.992,0.488,89.812,0.834,0,14
64,0.5,2,0.001,64,10,0.016,99.448,0.991,0.429,88.815,0.821,0,13
64,0.5,2,0.0001,32,1,0.687,53.506,0.251,0.66,69.676,0,0,17
64,0.5,2,0.0001,32,2,0.558,73.102,0.342,0.4,82.353,0.715,0,17
64,0.5,2,0.0001,32,3,0.332,86.411,0.796,0.32,86.449,0.792,0,17
64,0.5,2,0.0001,32,4,0.256,89.948,0.85,0.292,86.978,0.802,0,17
64,0.5,2,0.0001,32,5,0.205,92.714,0.889,0.283,88.574,0.828,0,17
64,0.5,2,0.0001,32,6,0.169,94.004,0.907,0.264,89.699,0.843,0,18
64,0.5,2,0.0001,32,7,0.141,95.289,0.926,0.258,91.279,0.859,0,17
64,0.5,2,0.0001,32,8,0.119,96.193,0.94,0.257,91.904,0.869,0,18
64,0.5,2,0.0001,32,9,0.106,96.399,0.944,0.252,91.919,0.869,0,20
64,0.5,2,0.0001,32,10,0.092,97.256,0.957,0.26,91.654,0.867,0,19
64,0.5,2,0.0001,64,1,0.694,46.291,0.223,0.682,68.128,0,0,13
