Token,Frequency
jelek,133
top,116
up,110
wallet,94
gk,272
masuk,305
parah,105
nyusahin,10
orang,191
aja,345
pas,176
cash,33
plus,5
kaya,58
scam,38
selamat,38
titik,211
sangat,799
bagus,560
recommended,4
recomended,3
baru,118
pertama,43
mau,665
guna,126
kaspro,149
eh,47
udah,294
transfer,14
saldo,243
ga,633
apa,188
nih,51
urgent,6
pake,215
malah,349
zonk,6
entah,16
skrg,24
duit,41
tuh,35
gaya,8
cashless,6
sistem,61
support,4
buruk,114
ubah,69
map,130
nya,1250
sesuai,161
ky,7
grab,48
ama,9
gojek,70
kadang,67
driver,1516
ngeluh,4
patok,6
depan,33
baik,1271
ramah,754
layan,369
kendara,70
bersih,24
aman,82
tuju,192
banget,328
lama,321
cari,184
drivernya,371
terus,147
makin,98
mahal,66
mantap,372
kurang,140
maxim,1164
hari,82
suka,133
khusus,14
mobil,194
bukan,71
kasar,37
naik,125
harga,256
jab,1
ribu,51
sampe,114
ratus,3
atas,72
nama,66
roland,1
m,8
sau,1
daihatsu,6
sigra,4
wrna,1
putih,12
nopol,39
dhdk,1
main,22
yg,735
awal,63
rp,19
jadi,308
padahal,293
hnya,2
ad,29
keyboard,1
gereja,2
bawa,101
cargo,8
notice,1
makan,166
banyak,308
korban,7
aplikasi,937
jelas,220
maps,128
semua,82
tempat,65
maksud,10
gaada,25
ny,59
pdhl,39
akses,11
mudah,84
rekomendasi,7
tololng,1
lah,120
tingkat,36
serba,1
susah,341
nyari,74
masa,100
sen,83
jarak,50
nyampe,15
km,19
ongkos,62
sampek,6
k,82
nice,21
isi,126
maxsim,19
masuktiba,1
tiba,149
dompet,5
blokirrrrdasar,1
apk,252
balikin,6
guaa,1
woyyyy,1
supir,47
n,17
salah,86
kasih,310
jual,24
buat,277
marah,39
benarin,1
kali,204
lahh,4
ah,6
kocak,18
cuma,84
ayam,2
geprek,1
tulis,30
sate,1
emang,43
aneh,82
loading,13
hp,82
spek,2
itel,1
p,3
nfc,1
ram,1
gb,2
ngak,15
cepat,208
udh,125
kode,223
gak,691
kirim,120
telfon,4
mati,25
sendiri,87
usah,24
operasi,3
bloon,2
gua,77
kaga,24
bego,5
trima,17
barang,89
terimakasih,164
puas,90
jasa,26
rakyat,3
mud,32
abang,44
bgt,101
wangi,14
yah,23
transaksi,9
non,38
tunai,82
bikin,107
paham,21
log,34
in,33
otp,88
berapa,17
coba,76
akurasi,10
google,22
tunjuk,7
bengkel,1
laundry,1
jangan,109
gegara,10
pakai,186
karna,100
mertua,2
cinta,1
garis,6
keras,7
beliau,7
selalu,165
minta,285
oderin,1
kesel,28
sama,364
peta,45
edit,10
ulasanya,1
kalo,185
nyaman,145
ribet,49
bangetmnta,1
ganti,72
nomor,119
order,596
tingkah,1
bayar,254
sombong,22
bintang,97
satu,62
deh,40
br,3
download,56
lngsng,3
dpt,52
curang,5
abnang,1
ramahpelayanan,1
okemakasih,1
mqxim,1
login,202
nunggu,121
ngga,73
muncultaunya,1
lebih,266
batas,19
kok,89
baikk,12
ih,4
tadi,31
slah,3
klik,17
jmpol,1
kbawah,1
maaf,71
mulai,8
rame,6
make,23
mpas,1
kan,82
konyol,4
bngt,24
keretangannya,1
menit,77
tungguin,4
ambil,107
blm,19
ngambil,21
untung,34
muncul,59
lot,23
oke,77
anj,7
humble,3
good,192
hei,1
mu,10
bener,68
pernah,81
sangsi,2
jera,3
sering,154
nurunin,4
tumpang,106
sblm,4
genit,4
cewek,2
enak,69
byee,1
baikramah,4
pokok,25
super,6
mantul,2
ampun,24
sekali,227
nemu,12
g,50
suruh,78
batalin,37
bicara,10
antar,80
sopir,40
mantappp,3
keren,42
pesan,289
taxi,6
online,31
apknya,12
kemudi,161
batal,114
dy,1
alamat,145
ongkir,22
app,36
hati,59
teman,7
paling,46
hujan,46
x,62
