content,score,at
Ongkosnya tidak memanusiakan manusia untuk drivernya.,1,2024-10-30 23:22:32
baik,1,2024-10-30 21:16:35
terimakasih,1,2024-10-30 20:42:01
aplikasi susah di pakai,1,2024-10-30 20:12:49
"Tolong lah management pihak maxim di perbaiki aku udah 2x bayar, kembalian ga pernah di kasih dengan alasan dompet ketinggalan ga ada kembalian bukan masalah nominal tapi sebel aja pelayanannya kek gini ga Profesional harusnya kan udah tau kerjanya apa butuhnya apa yaa harus di penuhi dong saran aja yg baca ulasanku kalo kalian bayar cash mending kasih uang pas aja kalo berbaik hati mau kasih tips sih beda pembahasan ya ini kembali lagi ke customer",1,2024-10-30 18:27:10
"Maxim sampai mau kapan begini terus gak ada follow up about non cash payment ? Percuma ada layanan kaspro sudah di isi tapi tidak bisa untuk payment, mau sampai kapan?",1,2024-10-30 18:08:39
"bintang 1, apk ga jelas.",1,2024-10-30 18:07:46
Sangat buruk... saldo elektronik kaspro kepotong.. driver monta tunai juga..,1,2024-10-30 17:42:46
"Maxim kalau nerima karyawan yg sopan jangan orng gak jls! Pengalaman saya hari ini 30 okt 2024 saya naik maxim eka supraman, dia nekat minta tambahan uang ke orang tua saya dia nyamperin orang tua saya untuk mnta tambahan, padahal dri awal udh saya lebihin dn dia mnta tambah lagi, smpe saya g kasih nekat ke mama saya, tlng untuk fisik motor nya lebih di teliti lagi yg layak untuk berkendara!!!! SANGAT KECEWA 100% mengunakan maxim!!!!",1,2024-10-30 16:30:21
Gk ad yng bener jln nya,1,2024-10-30 15:56:16
"Hello MAXIM OWNER.. Menerima Driver harus lebih Selektif lagi !!! Jangan orang yg BRANGASAN,BAD ATTITUDE,KASAR dan suka PLAYING VICTIM macam yg Namanya si HARDI !!! Pake Ngerekam2 Saya segalaaa,Gaya Lu Tooong ! Lu kan tau gue minta dianter ke Hotel ANU,pas elu menurunkan gue,ADA GAK HOTEL nya ???Nyerocos kayak Orang GILA.Songong Lu..",1,2024-10-30 15:11:23
"lucu udah top up kaspro malah ga masuk, nominal nya ga sedikit lagi😂😂",1,2024-10-30 14:41:28
Salah satu aplikasi yg menurut ku jlk pengemudinya lelet dan sering cancel orderan,1,2024-10-30 13:56:28
"Driver mitra lo belagu belagu, ngorder yg terdekat pada gak mau pick up, dpt driver jauh2 mulu, order di ancol masa dpt driver yg di cileungsi, trus dpt yg di keamanan paling dket, pdahal yg sekitar ancol bnyk yg On",1,2024-10-30 13:54:45
"Sangat kecewa! Aplikasi yg sebaik ini ternyata masih kesulitan untuk melakukan top up Maxim e wallet Kaspro. Untuk developer, mohon diperbaiki segala sistem yg berhubungan dengan pembayaran non tunai. Saya sudah top up tapi saldo belum masuk juga sudah 24 jam menunggu. Kasih bintang satu ja. Terima kasih",1,2024-10-30 13:38:15
Demi apapun gaakan lagi gua pake maxim Driver nya makin banyak yang gajelas!!!,1,2024-10-30 12:44:57
"Susah dapet driver mobil di daerah jateng, mobile di map banyak tapi pada ga mau ngambil, kalo masalah harga padahal itu harga yg di tetapkan pihak Maxim, payah ga sepadan sama para kompetitor nya",1,2024-10-30 12:41:15
"Perjalanan yg saya pilih untuk sekali jalan, tiba² tagihannya 2 kali lipat pas saya tanya driver katanya dari aplikasi, padahal jelas² saya sekali jalan. Masa aplikasi bisa berubah tiba², bermasalah. Driver tetap minta tarif sesuai aplikasi, yg jelas² saya juga sesuai aplikasi. Dengan memilih sekali perjalanan. Jadi ongkos 80.000 jadi 159.000. Apa yg terjadi?",1,2024-10-30 11:02:25
Tolong lah kalau ngasih kendaraan itu jangan jauh2,2,2024-10-30 10:57:54
"Capek banget tiap mau pakai maxim wallet selalu di batalkan sama sistem, lemot banget asli!!!!!!!!!",1,2024-10-30 09:20:08
ojek abal2 kebanyakan tipu2,1,2024-10-30 08:03:00
"Masa pesen makanan jarak ga nyampe 1km , ongkos nya sampek 300k",1,2024-10-29 23:44:57
Saya isi saldo di maxim wallet bukti transfer sudah ada tapi saldo nya gak masuk masuk mohon perbantuan nya,1,2024-10-29 21:46:24
Ga bisa login,1,2024-10-29 21:16:18
Lama masuk top up nya,1,2024-10-29 19:25:44
"Tarif 18.800 dikasih 20.000 kaga dikasih kembalian njir, mana ga konfirmasi sama sekali 😂 pake fitur anter obat aja nunggunya 2.5 jam yang seharusnya waktu tunggu paling lama tuh 30 menit. Kacau dah. Mana map kaga update lagi, pusing kalo mau make",1,2024-10-29 19:24:42
Driver nya ya ampun kasar bgt...titik gak sesuai malah ngomel2 ...gila gak tuh,2,2024-10-29 18:52:40
"Ini kenapa apk tidak bisa ya minta kode pake no telp tapi tidak di kirim"" kode otp,padahal saya langanan maxim",1,2024-10-29 18:07:07
pelayanan sangat memuaskan..,1,2024-10-29 17:52:58
"Penipuan dikasih saldo, saldonya ga bisa dipake",1,2024-10-29 16:40:47
Saldonya ga bisa di pake huuuuuuu,1,2024-10-29 16:40:26
Gabisa di pake saldonya,1,2024-10-29 16:39:41
Pekerjanya terlalu memaksa untuk download Pdhl ga niat sama sekali,1,2024-10-29 16:00:16
"parah, mesen udh 1 jam lebih driver gk da yg datang, dan sering nya di tolak driver",1,2024-10-29 15:50:57
"Driver tidak sopan, nunggu suka lamaaa!!!",1,2024-10-29 14:30:42
Tolong pihak maxim ditindak lanjuti saya tertipu soal pembayaran delivery🙏,1,2024-10-29 14:06:12
"Daftarnya susah banget cuy kode otpnya gak dikirim2, 3 kali percobaan udah gak bisa lagi, buruk sangat",1,2024-10-29 13:03:00
"Aku sudah top up kemarin tapi sampai besoknya tidak masuk ,dan saldo di rekeningku sudah terpotong",2,2024-10-29 12:37:34
Minus bgt udh order malah di pilihin driver lain JERA unistal,1,2024-10-29 11:57:24
GK dapat kode otp,2,2024-10-29 11:39:34
"Mau daftar aja susah. Minta kode, kode masuk saat waktu sdh slesai. 2x sya coba dan sperti itu lg. Dan coba ke panggilan, tiba diangkat lgsung dimatiin. Aneh juga ni apk. Batas 3x minta kode dan gk bsa"" kode nya. Berakhir nomor sdh gk bsa dipakai lg buat kirim kode atau daftar.",1,2024-10-29 10:22:15
"aplikasi fenifu, 200 itu koin bukan dana, yeuu skem skem",1,2024-10-29 09:55:28
"Tarif di aplikasi customer sama driver beda, agak sulit bagi kami perjalanannya harus ada pelaporan dana. Driver suka nambahin tarif dengan alasan ngaret, padahal ngaretnya karna naikin penumpang, Kalau driver ngaret, tidak ada notif sama sekali, 🙏🏻 Suka ganti driver sendiri! Mana semuanya datang lagi. Padahal kita ga ada ganti driver.",1,2024-10-29 09:46:41
Aplikasi aneh banget gue kalo mesen sering dikasi driver yg jauh banget buat jemput gue padahal gue order ke tempat yg deket aja. Kasian drivernya jauh² pickup penumpang tapi argonya murah jelek lah pokonya ini aplikasi,1,2024-10-29 09:40:33
Kalo customer cancel dan minta ganti driver tolonglah di terima bukannya malah di kasih orang itu mulu,2,2024-10-29 09:13:24
200k SCAMMMMMMMMMMMMMMMMMM SALDO GABISA DI PAKE SCAM SCAM,1,2024-10-29 09:00:45
200k scammmmmmmm,1,2024-10-29 09:00:16
Login susah lebih dr 3x malah ga bisa. Aplikasi ga bagus log in aja dipersulit. Mendingan si ijo dr pda ini,1,2024-10-29 08:57:40
"Dari 10 driver Maxim hanya 2 yg baik yg lain nya driver sombong nolak nolak customer, bukan sekali 2 kali d tolak klo niat GK kerja gak usah online hanya karna jarak yg Deket padahal urgent hanya karna ongkos yg murah padahal klo kasih ongkos selalu q lebihin bikin kecewa .",1,2024-10-29 08:54:15
"Tiap hari menerima driver baru banyak ,kalau saya yang jadi mentri perhubungan sudah saya sepak kau aplikasi kejam sadis tidak memikirkan nasib driver ..pendaftaran di buka teris sampai hari kiamat !!!@",1,2024-10-29 06:54:05
"Saya udah transfer kaspro 30ribu kenapa belum masuk woy , tolong dong kembalikan uangnya !!!!! Apa perlu saya up ke medsos",1,2024-10-29 06:42:37
Saya tidak bisa login dan kode otp tdk terkirim baik melalui sms memang ditlp tpi cs membisu tdk ksi kode otp sehingga sy tdk bisa login. Saya kirain tidak ada pulsa maka tdk dikrim kode otp u/msk sms kode otp tahunya memang tidak bisa msk itu kode otp dan ditlp mlah tdk ada bicra apa itu CS Maxim.,2,2024-10-29 05:46:09
"agak kapok/takut buat pesan maxim lagi, dapet pengalaman yang bawa motornya ugal - ugalan parah, dia ga mikir sama sekali kalo dia bawa nyawa penumpang dan bawa nama yaitu maxim, gara gara satu org ini bisa jelek nama maxim. udah laporin ke pihak maxim tapi belum ada tanggapan. terima kasih untuk tidak pakai maxim lagi, akan terus terkenang kejadian ini, akan lebih baik lagi saya uninstal.",1,2024-10-29 04:24:19
