content,tokenized_text,processed_text
Ongkosnya tidak memanusiakan manusia untuk drivernya.,"['ongkosnya', 'tidak', 'memanusiakan', 'manusia', 'untuk', 'drivernya']","['ongkos', 'manusia', 'manusia', 'drivernya']"
baik,['baik'],['baik']
terimakasih,['terimakasih'],['terimakasih']
aplikasi susah di pakai,"['aplikasi', 'susah', 'di', 'pakai']","['aplikasi', 'susah', 'pakai']"
"Tolong lah management pihak maxim di perbaiki aku udah 2x bayar, kembalian ga pernah di kasih dengan alasan dompet ketinggalan ga ada kembalian bukan masalah nominal tapi sebel aja pelayanannya kek gini ga Profesional harusnya kan udah tau kerjanya apa butuhnya apa yaa harus di penuhi dong saran aja yg baca ulasanku kalo kalian bayar cash mending kasih uang pas aja kalo berbaik hati mau kasih tips sih beda pembahasan ya ini kembali lagi ke customer","['tolong', 'lah', 'management', 'pihak', 'maxim', 'di', 'perbaiki', 'aku', 'udah', 'x', 'bayar', 'kembalian', 'ga', 'pernah', 'di', 'kasih', 'dengan', 'alasan', 'dompet', 'ketinggalan', 'ga', 'ada', 'kembalian', 'bukan', 'masalah', 'nominal', 'tapi', 'sebel', 'aja', 'pelayanannya', 'kek', 'gini', 'ga', 'profesional', 'harusnya', 'kan', 'udah', 'tau', 'kerjanya', 'apa', 'butuhnya', 'apa', 'yaa', 'harus', 'di', 'penuhi', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulasanku', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'berbaik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'pembahasan', 'ya', 'ini', 'kembali', 'lagi', 'ke', 'customer']","['lah', 'management', 'pihak', 'maxim', 'baik', 'aku', 'udah', 'x', 'bayar', 'kembali', 'ga', 'pernah', 'kasih', 'alas', 'dompet', 'tinggal', 'ga', 'kembali', 'bukan', 'masalah', 'nominal', 'sebel', 'aja', 'layan', 'kek', 'gin', 'ga', 'profesional', 'harus', 'kan', 'udah', 'tau', 'kerja', 'apa', 'butuh', 'apa', 'yaa', 'penuh', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulas', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'baik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'bahas', 'customer']"
"Maxim sampai mau kapan begini terus gak ada follow up about non cash payment ? Percuma ada layanan kaspro sudah di isi tapi tidak bisa untuk payment, mau sampai kapan?","['maxim', 'sampai', 'mau', 'kapan', 'begini', 'terus', 'gak', 'ada', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'ada', 'layanan', 'kaspro', 'sudah', 'di', 'isi', 'tapi', 'tidak', 'bisa', 'untuk', 'payment', 'mau', 'sampai', 'kapan']","['maxim', 'mau', 'kapan', 'begini', 'terus', 'gak', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'layan', 'kaspro', 'isi', 'payment', 'mau', 'kapan']"
"bintang 1, apk ga jelas.","['bintang', 'apk', 'ga', 'jelas']","['bintang', 'apk', 'ga', 'jelas']"
Sangat buruk... saldo elektronik kaspro kepotong.. driver monta tunai juga..,"['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'kepotong', 'driver', 'monta', 'tunai', 'juga']","['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'potong', 'driver', 'monta', 'tunai']"
"Maxim kalau nerima karyawan yg sopan jangan orng gak jls! Pengalaman saya hari ini 30 okt 2024 saya naik maxim eka supraman, dia nekat minta tambahan uang ke orang tua saya dia nyamperin orang tua saya untuk mnta tambahan, padahal dri awal udh saya lebihin dn dia mnta tambah lagi, smpe saya g kasih nekat ke mama saya, tlng untuk fisik motor nya lebih di teliti lagi yg layak untuk berkendara!!!! SANGAT KECEWA 100% mengunakan maxim!!!!","['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'pengalaman', 'saya', 'hari', 'ini', 'okt', 'saya', 'naik', 'maxim', 'eka', 'supraman', 'dia', 'nekat', 'minta', 'tambahan', 'uang', 'ke', 'orang', 'tua', 'saya', 'dia', 'nyamperin', 'orang', 'tua', 'saya', 'untuk', 'mnta', 'tambahan', 'padahal', 'dri', 'awal', 'udh', 'saya', 'lebihin', 'dn', 'dia', 'mnta', 'tambah', 'lagi', 'smpe', 'saya', 'g', 'kasih', 'nekat', 'ke', 'mama', 'saya', 'tlng', 'untuk', 'fisik', 'motor', 'nya', 'lebih', 'di', 'teliti', 'lagi', 'yg', 'layak', 'untuk', 'berkendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']","['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'alam', 'hari', 'okt', 'naik', 'maxim', 'eka', 'supraman', 'nekat', 'minta', 'tambah', 'uang', 'orang', 'tua', 'nyamperin', 'orang', 'tua', 'mnta', 'tambah', 'padahal', 'dri', 'awal', 'udh', 'lebihin', 'dn', 'mnta', 'tambah', 'smpe', 'g', 'kasih', 'nekat', 'mama', 'tlng', 'fisik', 'motor', 'nya', 'lebih', 'teliti', 'yg', 'layak', 'kendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']"
Gk ad yng bener jln nya,"['gk', 'ad', 'yng', 'bener', 'jln', 'nya']","['gk', 'ad', 'yng', 'bener', 'jln', 'nya']"
