content,processed_text
Udh 5x pesen makanan kga ad yg mau trima Takut dikira fiktif x ya,"['udh', 'x', 'sen', 'makan', 'kga', 'ad', 'yg', 'mau', 'trima', 'takut', 'kira', 'fiktif', 'x']"
buat pelanggan jangan bayar lewat kaspro error .,"['buat', 'langgan', 'jangan', 'bayar', 'lewat', 'kaspro', 'error']"
Pesen makanan pas menu show cart malah blank putih,"['sen', 'makan', 'pas', 'menu', 'show', 'cart', 'malah', 'blank', 'putih']"
"Maxim, tolong banget ya kalau navigasi kalian buruk banget. Apalagi delivery nya... Selalu saja setiap kirim apapun pakai Maxim pasti tersesat terus driver. Tolong beneri ya... Aplikasinya nggak harus canggih banget setidaknya orang maps masih bisa baca tuh maps nya","['maxim', 'banget', 'kalau', 'navigasi', 'kalian', 'buruk', 'banget', 'delivery', 'nya', 'selalu', 'tiap', 'kirim', 'apa', 'pakai', 'maxim', 'sesat', 'terus', 'driver', 'beneri', 'aplikasi', 'harus', 'canggih', 'banget', 'orang', 'maps', 'bisa', 'baca', 'tuh', 'maps', 'nya']"
"tidak puas sama sekali, sudah dicancel 5 menit kemudian baru masuk ke driver, lalu terjadi kesalahpahaman dan bukan cuman sekali, sistem juga lambat mengenali lokasi. lalu pernah saat memesan mobil, harga di hp saya dan driver berbeda, lalu saat sampai tujuan harganya berubah di hp saya. what a bad experience","['puas', 'sama', 'sekali', 'dicancel', 'menit', 'kemudian', 'baru', 'masuk', 'driver', 'lalu', 'jadi', 'kesalahpahaman', 'bukan', 'cuman', 'sekali', 'sistem', 'lambat', 'nali', 'lokasi', 'lalu', 'pernah', 'mes', 'mobil', 'harga', 'hp', 'dan', 'driver', 'beda', 'lalu', 'sampai', 'tuju', 'harga', 'ubah', 'hp', 'what', 'a', 'bad', 'experience']"
"tiba-tiba aja log out padahal lagi order pesanan, pas mau log in kembali udah masukin nomor aktif pesan kode nya gak ada yg masuk. kesal saya, gk pake lagi.","['tibatiba', 'aja', 'log', 'out', 'padahal', 'order', 'pesan', 'pas', 'mau', 'log', 'in', 'udah', 'masukin', 'nomor', 'aktif', 'pesan', 'kode', 'nya', 'gak', 'yg', 'masuk', 'kesal', 'gk', 'pake']"
baru tau kalo order delivery ada sistem double order. paket dibawa muter2 dulu. auto uninstall,"['baru', 'tau', 'kalo', 'order', 'delivery', 'sistem', 'double', 'order', 'paket', 'bawa', 'muter', 'dulu', 'auto', 'uninstall']"
Nyari bandara aja di peta nggak ketemu..,"['nyari', 'bandara', 'aja', 'peta', 'ketemu']"
"Aplikasi apaan ini, Ga ada customer servicenya, Buat bikin laporan saldo kaspro yang ga bertambah setelah di iisi aja ga ada menunya..mau lapor kemana juga customer bingung","['aplikasi', 'apa', 'ga', 'customer', 'servicenya', 'buat', 'bikin', 'lapor', 'saldo', 'kaspro', 'ga', 'tambah', 'di', 'iisi', 'aja', 'ga', 'menunyamau', 'lapor', 'juga', 'customer', 'bingung']"
"DRIVER NYA GASOPAN, TOLONG YA MAXIM MOTOR DENGAN NOMER W6851S ATAS NAMA DEWA NUSANTARA DI EVALUASI. GASOPAN SAMA CUST","['driver', 'nya', 'gasopan', 'ya', 'maxim', 'motor', 'nomer', 'ws', 'atas', 'nama', 'dewa', 'nusantara', 'evaluasi', 'gasopan', 'sama', 'cust']"
Topup maxim 50.000 dari dana ga masuk sama sekali tapi saldo sudah dipotong.,"['topup', 'maxim', 'dana', 'ga', 'masuk', 'sama', 'sekali', 'saldo', 'potong']"
Apk busuk topup lama masuk!!!!,"['apk', 'busuk', 'topup', 'lama', 'masuk']"
"Kesan pribadi dr saya, memesan maxim peta sudah di titik yg tepat tapi tidak bisa pass pdhl sudah benar, Pencarian untuk driver sangaaattt lama sekali dann endingnya gagal,eror bahkan tidak berfungi untuk memesan....","['kesan', 'pribadi', 'dr', 'mes', 'maxim', 'peta', 'di', 'titik', 'yg', 'tepat', 'pass', 'pdhl', 'benar', 'cari', 'driver', 'sangaaattt', 'lama', 'sekali', 'dann', 'endingnya', 'gagaleror', 'bahkan', 'tidak', 'fungi', 'mes']"
"Aplikasi yang aneh masa ada Maxim yang udah sering tongkrong di dekat rumah malah dapat yang nunggu sekitar 15 menit terlalu lama sistem aneh, lalu berbaiki lagi mapsnya tolong perbaiki developernya kalau bisa","['aplikasi', 'aneh', 'masa', 'maxim', 'udah', 'sering', 'tongkrong', 'dekat', 'rumah', 'malah', 'yang', 'nunggu', 'menit', 'terlalu', 'lama', 'sistem', 'aneh', 'lalu', 'baik', 'mapsnya', 'baik', 'developer', 'kalau']"
"apk penipuan, tidak di jelaskan lebih lanjut dan hanya ngasih saldo trus ternyata itu buat diskon doang mmmmkkkkk","['apk', 'tipu', 'di', 'jelas', 'lebih', 'lanjut', 'hanya', 'ngasih', 'saldo', 'trus', 'nyata', 'buat', 'diskon', 'doang', 'mmmmkkkkk']"
Aplikasi penipuan promosi nya menipu banyak orng kta nya dpt 200k,"['aplikasi', 'tipu', 'promosi', 'nya', 'tipu', 'banyak', 'orng', 'kta', 'nya', 'dpt', 'k']"
"maxim mobil nya kalau pagi ga dapat"" mls bintang 1","['maxim', 'mobil', 'nya', 'kalau', 'pagi', 'ga', 'mls', 'bintang']"
lama bgt anj ngambil pelaksanaanya,"['lama', 'bgt', 'anj', 'ngambil', 'pelaksanaanya']"
"Beralih coba ke maxim setelah tidak percaya sama aplikasi sebelah.. saya menggunakan jasa ojek online setiap hari.. tapi akhir akhir ini, setiap pagi pesan maxim berturut turut dapat pengemudi seperti orang mabuk dan mengantuk. Seharusnya kalau memang sehabis mabuk atau masih ngantuk jangan nyalakan aplikasi. Aplikasi ojek online apalagi yang bisa di percaya?","['alih', 'coba', 'maxim', 'tidak', 'percaya', 'sama', 'aplikasi', 'belah', 'guna', 'jasa', 'ojek', 'online', 'hari', 'akhir', 'akhir', 'tiap', 'pagi', 'pesan', 'maxim', 'turut', 'turut', 'kemudi', 'orang', 'mabuk', 'antuk', 'kalau', 'memang', 'habis', 'mabuk', 'masih', 'ngantuk', 'jangan', 'nyala', 'aplikasi', 'aplikasi', 'ojek', 'online', 'yang', 'di', 'percaya']"
saldo kaspro wallet tidak dapat digunakan. Mau di tarik kembali saldonya tidak bisa..,"['saldo', 'kaspro', 'wallet', 'dapat', 'guna', 'mau', 'tarik', 'saldo', 'bisa']"
