content,cleaned_text
Ongkosnya tidak memanusiakan manusia untuk drivernya.,Ongkosnya tidak memanusiakan manusia untuk drivernya
baik,baik
terimakasih,terimakasih
aplikasi susah di pakai,aplikasi susah di pakai
"Tolong lah management pihak maxim di perbaiki aku udah 2x bayar, kembalian ga pernah di kasih dengan alasan dompet ketinggalan ga ada kembalian bukan masalah nominal tapi sebel aja pelayanannya kek gini ga Profesional harusnya kan udah tau kerjanya apa butuhnya apa yaa harus di penuhi dong saran aja yg baca ulasanku kalo kalian bayar cash mending kasih uang pas aja kalo berbaik hati mau kasih tips sih beda pembahasan ya ini kembali lagi ke customer",Tolong lah management pihak maxim di perbaiki aku udah x bayar kembalian ga pernah di kasih dengan alasan dompet ketinggalan ga ada kembalian bukan masalah nominal tapi sebel aja pelayanannya kek gini ga Profesional harusnya kan udah tau kerjanya apa butuhnya apa yaa harus di penuhi dong saran aja yg baca ulasanku kalo kalian bayar cash mending kasih uang pas aja kalo berbaik hati mau kasih tips sih beda pembahasan ya ini kembali lagi ke customer
"Maxim sampai mau kapan begini terus gak ada follow up about non cash payment ? Percuma ada layanan kaspro sudah di isi tapi tidak bisa untuk payment, mau sampai kapan?",Maxim sampai mau kapan begini terus gak ada follow up about non cash payment Percuma ada layanan kaspro sudah di isi tapi tidak bisa untuk payment mau sampai kapan
"bintang 1, apk ga jelas.",bintang apk ga jelas
Sangat buruk... saldo elektronik kaspro kepotong.. driver monta tunai juga..,Sangat buruk saldo elektronik kaspro kepotong driver monta tunai juga
"Maxim kalau nerima karyawan yg sopan jangan orng gak jls! Pengalaman saya hari ini 30 okt 2024 saya naik maxim eka supraman, dia nekat minta tambahan uang ke orang tua saya dia nyamperin orang tua saya untuk mnta tambahan, padahal dri awal udh saya lebihin dn dia mnta tambah lagi, smpe saya g kasih nekat ke mama saya, tlng untuk fisik motor nya lebih di teliti lagi yg layak untuk berkendara!!!! SANGAT KECEWA 100% mengunakan maxim!!!!",Maxim kalau nerima karyawan yg sopan jangan orng gak jls Pengalaman saya hari ini okt saya naik maxim eka supraman dia nekat minta tambahan uang ke orang tua saya dia nyamperin orang tua saya untuk mnta tambahan padahal dri awal udh saya lebihin dn dia mnta tambah lagi smpe saya g kasih nekat ke mama saya tlng untuk fisik motor nya lebih di teliti lagi yg layak untuk berkendara SANGAT KECEWA mengunakan maxim
Gk ad yng bener jln nya,Gk ad yng bener jln nya
"Hello MAXIM OWNER.. Menerima Driver harus lebih Selektif lagi !!! Jangan orang yg BRANGASAN,BAD ATTITUDE,KASAR dan suka PLAYING VICTIM macam yg Namanya si HARDI !!! Pake Ngerekam2 Saya segalaaa,Gaya Lu Tooong ! Lu kan tau gue minta dianter ke Hotel ANU,pas elu menurunkan gue,ADA GAK HOTEL nya ???Nyerocos kayak Orang GILA.Songong Lu..",Hello MAXIM OWNER Menerima Driver harus lebih Selektif lagi Jangan orang yg BRANGASANBAD ATTITUDEKASAR dan suka PLAYING VICTIM macam yg Namanya si HARDI Pake Ngerekam Saya segalaaaGaya Lu Tooong Lu kan tau gue minta dianter ke Hotel ANUpas elu menurunkan gueADA GAK HOTEL nya Nyerocos kayak Orang GILASongong Lu
"lucu udah top up kaspro malah ga masuk, nominal nya ga sedikit lagi😂😂",lucu udah top up kaspro malah ga masuk nominal nya ga sedikit lagi
Salah satu aplikasi yg menurut ku jlk pengemudinya lelet dan sering cancel orderan,Salah satu aplikasi yg menurut ku jlk pengemudinya lelet dan sering cancel orderan
"Driver mitra lo belagu belagu, ngorder yg terdekat pada gak mau pick up, dpt driver jauh2 mulu, order di ancol masa dpt driver yg di cileungsi, trus dpt yg di keamanan paling dket, pdahal yg sekitar ancol bnyk yg On",Driver mitra lo belagu belagu ngorder yg terdekat pada gak mau pick up dpt driver jauh mulu order di ancol masa dpt driver yg di cileungsi trus dpt yg di keamanan paling dket pdahal yg sekitar ancol bnyk yg On
"Sangat kecewa! Aplikasi yg sebaik ini ternyata masih kesulitan untuk melakukan top up Maxim e wallet Kaspro. Untuk developer, mohon diperbaiki segala sistem yg berhubungan dengan pembayaran non tunai. Saya sudah top up tapi saldo belum masuk juga sudah 24 jam menunggu. Kasih bintang satu ja. Terima kasih",Sangat kecewa Aplikasi yg sebaik ini ternyata masih kesulitan untuk melakukan top up Maxim e wallet Kaspro Untuk developer mohon diperbaiki segala sistem yg berhubungan dengan pembayaran non tunai Saya sudah top up tapi saldo belum masuk juga sudah jam menunggu Kasih bintang satu ja Terima kasih
Demi apapun gaakan lagi gua pake maxim Driver nya makin banyak yang gajelas!!!,Demi apapun gaakan lagi gua pake maxim Driver nya makin banyak yang gajelas
