no_stopwords,stemmed_text
"['ongkosnya', 'memanusiakan', 'manusia', 'drivernya']","['ongkos', 'manusia', 'manusia', 'drivernya']"
['baik'],['baik']
['terimakasih'],['terimakasih']
"['aplikasi', 'susah', 'pakai']","['aplikasi', 'susah', 'pakai']"
"['lah', 'management', 'pihak', 'maxim', 'perbaiki', 'aku', 'udah', 'x', 'bayar', 'kembalian', 'ga', 'pernah', 'kasih', 'alasan', 'dompet', 'ketinggalan', 'ga', 'kembalian', 'bukan', 'masalah', 'nominal', 'sebel', 'aja', 'pelayanannya', 'kek', 'gini', 'ga', 'profesional', 'harusnya', 'kan', 'udah', 'tau', 'kerjanya', 'apa', 'butuhnya', 'apa', 'yaa', 'penuhi', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulasanku', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'berbaik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'pembahasan', 'customer']","['lah', 'management', 'pihak', 'maxim', 'baik', 'aku', 'udah', 'x', 'bayar', 'kembali', 'ga', 'pernah', 'kasih', 'alas', 'dompet', 'tinggal', 'ga', 'kembali', 'bukan', 'masalah', 'nominal', 'sebel', 'aja', 'layan', 'kek', 'gin', 'ga', 'profesional', 'harus', 'kan', 'udah', 'tau', 'kerja', 'apa', 'butuh', 'apa', 'yaa', 'penuh', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulas', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'baik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'bahas', 'customer']"
"['maxim', 'mau', 'kapan', 'begini', 'terus', 'gak', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'layanan', 'kaspro', 'isi', 'payment', 'mau', 'kapan']","['maxim', 'mau', 'kapan', 'begini', 'terus', 'gak', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'layan', 'kaspro', 'isi', 'payment', 'mau', 'kapan']"
"['bintang', 'apk', 'ga', 'jelas']","['bintang', 'apk', 'ga', 'jelas']"
"['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'kepotong', 'driver', 'monta', 'tunai']","['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'potong', 'driver', 'monta', 'tunai']"
"['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'pengalaman', 'hari', 'okt', 'naik', 'maxim', 'eka', 'supraman', 'nekat', 'minta', 'tambahan', 'uang', 'orang', 'tua', 'nyamperin', 'orang', 'tua', 'mnta', 'tambahan', 'padahal', 'dri', 'awal', 'udh', 'lebihin', 'dn', 'mnta', 'tambah', 'smpe', 'g', 'kasih', 'nekat', 'mama', 'tlng', 'fisik', 'motor', 'nya', 'lebih', 'teliti', 'yg', 'layak', 'berkendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']","['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'alam', 'hari', 'okt', 'naik', 'maxim', 'eka', 'supraman', 'nekat', 'minta', 'tambah', 'uang', 'orang', 'tua', 'nyamperin', 'orang', 'tua', 'mnta', 'tambah', 'padahal', 'dri', 'awal', 'udh', 'lebihin', 'dn', 'mnta', 'tambah', 'smpe', 'g', 'kasih', 'nekat', 'mama', 'tlng', 'fisik', 'motor', 'nya', 'lebih', 'teliti', 'yg', 'layak', 'kendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']"
"['gk', 'ad', 'yng', 'bener', 'jln', 'nya']","['gk', 'ad', 'yng', 'bener', 'jln', 'nya']"
