tokenized_text,no_stopwords
"['ongkosnya', 'tidak', 'memanusiakan', 'manusia', 'untuk', 'drivernya']","['ongkosnya', 'memanusiakan', 'manusia', 'drivernya']"
['baik'],['baik']
['terimakasih'],['terimakasih']
"['aplikasi', 'susah', 'di', 'pakai']","['aplikasi', 'susah', 'pakai']"
"['tolong', 'lah', 'management', 'pihak', 'maxim', 'di', 'perbaiki', 'aku', 'udah', 'x', 'bayar', 'kembalian', 'ga', 'pernah', 'di', 'kasih', 'dengan', 'alasan', 'dompet', 'ketinggalan', 'ga', 'ada', 'kembalian', 'bukan', 'masalah', 'nominal', 'tapi', 'sebel', 'aja', 'pelayanannya', 'kek', 'gini', 'ga', 'profesional', 'harusnya', 'kan', 'udah', 'tau', 'kerjanya', 'apa', 'butuhnya', 'apa', 'yaa', 'harus', 'di', 'penuhi', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulasanku', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'berbaik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'pembahasan', 'ya', 'ini', 'kembali', 'lagi', 'ke', 'customer']","['lah', 'management', 'pihak', 'maxim', 'perbaiki', 'aku', 'udah', 'x', 'bayar', 'kembalian', 'ga', 'pernah', 'kasih', 'alasan', 'dompet', 'ketinggalan', 'ga', 'kembalian', 'bukan', 'masalah', 'nominal', 'sebel', 'aja', 'pelayanannya', 'kek', 'gini', 'ga', 'profesional', 'harusnya', 'kan', 'udah', 'tau', 'kerjanya', 'apa', 'butuhnya', 'apa', 'yaa', 'penuhi', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulasanku', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'berbaik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'pembahasan', 'customer']"
"['maxim', 'sampai', 'mau', 'kapan', 'begini', 'terus', 'gak', 'ada', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'ada', 'layanan', 'kaspro', 'sudah', 'di', 'isi', 'tapi', 'tidak', 'bisa', 'untuk', 'payment', 'mau', 'sampai', 'kapan']","['maxim', 'mau', 'kapan', 'begini', 'terus', 'gak', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'layanan', 'kaspro', 'isi', 'payment', 'mau', 'kapan']"
"['bintang', 'apk', 'ga', 'jelas']","['bintang', 'apk', 'ga', 'jelas']"
"['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'kepotong', 'driver', 'monta', 'tunai', 'juga']","['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'kepotong', 'driver', 'monta', 'tunai']"
"['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'pengalaman', 'saya', 'hari', 'ini', 'okt', 'saya', 'naik', 'maxim', 'eka', 'supraman', 'dia', 'nekat', 'minta', 'tambahan', 'uang', 'ke', 'orang', 'tua', 'saya', 'dia', 'nyamperin', 'orang', 'tua', 'saya', 'untuk', 'mnta', 'tambahan', 'padahal', 'dri', 'awal', 'udh', 'saya', 'lebihin', 'dn', 'dia', 'mnta', 'tambah', 'lagi', 'smpe', 'saya', 'g', 'kasih', 'nekat', 'ke', 'mama', 'saya', 'tlng', 'untuk', 'fisik', 'motor', 'nya', 'lebih', 'di', 'teliti', 'lagi', 'yg', 'layak', 'untuk', 'berkendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']","['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'pengalaman', 'hari', 'okt', 'naik', 'maxim', 'eka', 'supraman', 'nekat', 'minta', 'tambahan', 'uang', 'orang', 'tua', 'nyamperin', 'orang', 'tua', 'mnta', 'tambahan', 'padahal', 'dri', 'awal', 'udh', 'lebihin', 'dn', 'mnta', 'tambah', 'smpe', 'g', 'kasih', 'nekat', 'mama', 'tlng', 'fisik', 'motor', 'nya', 'lebih', 'teliti', 'yg', 'layak', 'berkendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']"
"['gk', 'ad', 'yng', 'bener', 'jln', 'nya']","['gk', 'ad', 'yng', 'bener', 'jln', 'nya']"
"['hello', 'maxim', 'owner', 'menerima', 'driver', 'harus', 'lebih', 'selektif', 'lagi', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'dan', 'suka', 'playing', 'victim', 'macam', 'yg', 'namanya', 'si', 'hardi', 'pake', 'ngerekam', 'saya', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'dianter', 'ke', 'hotel', 'anupas', 'elu', 'menurunkan', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']","['hello', 'maxim', 'owner', 'menerima', 'driver', 'lebih', 'selektif', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'suka', 'playing', 'victim', 'macam', 'yg', 'namanya', 'si', 'hardi', 'pake', 'ngerekam', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'dianter', 'hotel', 'anupas', 'elu', 'menurunkan', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']"
