processed_text,translated_text,converted_text,vader_sentiment,compound
['baik'],['Good'],Good,positif,0.4404
['terimakasih'],['Thank You'],Thank You,positif,0.3612
"['aplikasi', 'susah', 'pakai']","['application', 'difficult', 'use']",application difficult use,negatif,-0.3612
"['lah', 'management', 'pihak', 'maxim', 'baik', 'aku', 'udah', 'x', 'bayar', 'kembali', 'ga', 'pernah', 'kasih', 'alas', 'dompet', 'tinggal', 'ga', 'kembali', 'bukan', 'masalah', 'nominal', 'sebel', 'aja', 'layan', 'kek', 'gin', 'ga', 'profesional', 'harus', 'kan', 'udah', 'tau', 'kerja', 'apa', 'butuh', 'apa', 'yaa', 'penuh', 'dong', 'saran', 'aja', 'yg', 'baca', 'ulas', 'kalo', 'kalian', 'bayar', 'cash', 'mending', 'kasih', 'uang', 'pas', 'aja', 'kalo', 'baik', 'hati', 'mau', 'kasih', 'tips', 'sih', 'beda', 'bahas', 'customer']","['lah', 'management', 'party', 'maxim', 'good', 'me', 'already', 'x', 'pay', 'back', 'no', 'ever', ','Love ',' Alas', 'Wallet', 'Living', 'Ga', 'Back', 'Not', 'Problems',' Nominal ',' Sebi ',' Just ',' Layan ',' Kek ', 'Gin', 'GA', 'Professional', 'Must', 'right', 'already', 'know', 'work', 'what', 'need', 'what', 'yeah', ','Full ',' Dong ',' Suggestion ',' Just ',' Yang ',' Read ',' Review ',' If ',' You ',' Pay ',' Cash ',' Mending ',' Kasih ', 'money', 'right', 'just', 'if', 'good', 'heart', 'want', 'love', 'tips', 'anyway', 'different', 'discuss', ''Customer ']",lah management party maxim good me already x pay back no ever Love  Alas Wallet Living Ga Back Not Problems Nominal  Sebi  Just  Layan  Kek  Gin GA Professional Must right already know work what need what yeah Full  Dong  Suggestion  Just  Yang  Read  Review  If  You  Pay  Cash  Mending  Kasih  money right just if good heart want love tips anyway different discuss Customer ,positif,0.9482
"['maxim', 'mau', 'kapan', 'begini', 'terus', 'gak', 'follow', 'up', 'about', 'non', 'cash', 'payment', 'percuma', 'layan', 'kaspro', 'isi', 'payment', 'mau', 'kapan']","['Maxim', 'Want', 'When', 'Like', 'Continue', 'No', 'Follow', 'Up', 'About', 'Non', 'Cash', 'Cash', 'Payment', ','It's useless', 'Layan', 'Kaspro', 'Fill', 'Payment', 'Want', 'When']",Maxim Want When Like Continue No Follow Up About Non Cash Cash Payment Its useless Layan Kaspro Fill Payment Want When,negatif,-0.2263
"['bintang', 'apk', 'ga', 'jelas']","['stars', 'apk', 'no', 'explained']",stars apk no explained,negatif,-0.296
"['sangat', 'buruk', 'saldo', 'elektronik', 'kaspro', 'potong', 'driver', 'monta', 'tunai']","['very', 'bad', 'balance', 'electronic', 'kaspro', 'cut', 'driver', 'Monta', 'Cash']",very bad balance electronic kaspro cut driver Monta Cash,negatif,-0.7089
"['maxim', 'kalau', 'nerima', 'karyawan', 'yg', 'sopan', 'jangan', 'orng', 'gak', 'jls', 'alam', 'hari', 'okt', 'naik', 'maxim', 'eka', 'supraman', 'nekat', 'minta', 'tambah', 'uang', 'orang', 'tua', 'nyamperin', 'orang', 'tua', 'mnta', 'tambah', 'padahal', 'dri', 'awal', 'udh', 'lebihin', 'dn', 'mnta', 'tambah', 'smpe', 'g', 'kasih', 'nekat', 'mama', 'tlng', 'fisik', 'motor', 'nya', 'lebih', 'teliti', 'yg', 'layak', 'kendara', 'sangat', 'kecewa', 'mengunakan', 'maxim']","['Maxim', 'if', 'receive', 'employee', 'YG', 'polite', 'don't', 'orng', 'no', 'jls',' nature ',' day ','Oct ',' Ride ',' Maxim ',' Eka ',' Supraman ',' Reckless', 'Ask', 'Ask', 'Add', 'Money', 'People', 'Old', 'Nyamperin', 'People', 'old', 'Mnta', 'added', 'even though', 'Dri', 'Beginning', 'Udh', 'More on', 'Dn', 'Mnta', 'added', 'SMPE', ','G ',' love ',' reckless', 'mama', 'tlng', 'physical', 'motor', 'motor', 'more', 'Thorough', 'Yang', 'worthy', 'Kendara', 'Very', 'Disappointed', 'Using', 'Maxim']",Maxim if receive employee YG polite dont orng no jls nature  day Oct  Ride  Maxim  Eka  Supraman  Reckless Ask Ask Add Money People Old Nyamperin People old Mnta added even though Dri Beginning Udh More on Dn Mnta added SMPE G  love  reckless mama tlng physical motor motor more Thorough Yang worthy Kendara Very Disappointed Using Maxim,positif,0.1176
"['hello', 'maxim', 'owner', 'terima', 'driver', 'lebih', 'selektif', 'jangan', 'orang', 'yg', 'brangasanbad', 'attitudekasar', 'suka', 'playing', 'victim', 'macam', 'yg', 'nama', 'si', 'hardi', 'pake', 'ngerekam', 'segalaaagaya', 'lu', 'tooong', 'lu', 'kan', 'tau', 'gue', 'minta', 'anter', 'hotel', 'anupas', 'elu', 'turun', 'gueada', 'gak', 'hotel', 'nya', 'nyerocos', 'kayak', 'orang', 'gilasongong', 'lu']","['Hello', 'Maxim', 'Owner', 'Accept', 'Driver', 'More', 'Selective', 'Don't', 'People', 'Yang', 'Brangasanbad', 'Attitudekasar', '', 'Like ',' Playing ',' Victim ',' Kind ',' Yang ',' Name ',' Si ',' Hardi ',' Using ',' Recorded ',' AllaAgaya ',' Lu ',' Tooong ', 'Lu', 'Kan', 'Know', 'I', 'Ask', 'Anter', 'Hotel', 'Anupas',' Elu ',' Down ',' Akada ',' No ',' ','Hotel ',' its', 'Nyerocos',' Kayak ',' People ',' Gilasongong ',' Lu ']",Hello Maxim Owner Accept Driver More Selective Dont People Yang Brangasanbad Attitudekasar  Like  Playing  Victim  Kind  Yang  Name  Si  Hardi  Using  Recorded  AllaAgaya  Lu  Tooong  Lu Kan Know I Ask Anter Hotel Anupas Elu  Down  Akada  No  Hotel  its Nyerocos Kayak  People  Gilasongong  Lu ,positif,0.7184
"['lucu', 'udah', 'top', 'up', 'kaspro', 'malah', 'ga', 'masuk', 'nominal', 'nya', 'ga', 'sedikit']","['funny', 'already', 'top', 'up', 'kaspro', 'instead', 'no', 'enter', 'nominal', 'it', 'no', 'a little']",funny already top up kaspro instead no enter nominal it no a little,positif,0.0772
"['salah', 'satu', 'aplikasi', 'yg', 'ku', 'jlk', 'mud', 'lelet', 'sering', 'cancel', 'order']","['wrong', 'one', 'application', 'yang', 'ku', 'jlk', 'mud', 'slow', 'often', 'cancel', 'order']",wrong one application yang ku jlk mud slow often cancel order,negatif,-0.6249
"['driver', 'mitra', 'lo', 'belagu', 'belagu', 'ngorder', 'yg', 'dekat', 'gak', 'mau', 'pick', 'up', 'dpt', 'driver', 'jauh', 'mulu', 'order', 'ancol', 'masa', 'dpt', 'driver', 'yg', 'cileungsi', 'trus', 'dpt', 'yg', 'aman', 'paling', 'dket', 'pdahal', 'yg', 'ancol', 'bnyk', 'yg', 'on']","['Driver', 'Mitra', 'Lo', 'Belagu', 'Belagu', 'Ngorder', 'Yang', 'Close', 'No', 'Want', 'Pick', 'Up', ','DPT ',' Driver ',' far ',' Mulu ',' Order ',' Ancol ',' Time ',' DPT ',' Driver ',' YG ',' Cileungsi ',' then ',' DPT ', 'YG', 'Safe', 'Most', 'Detet', 'Pakashal', 'Yang', 'Ancol', 'Banyk', 'Yang', 'On']",Driver Mitra Lo Belagu Belagu Ngorder Yang Close No Want Pick Up DPT  Driver  far  Mulu  Order  Ancol  Time  DPT  Driver  YG  Cileungsi  then  DPT  YG Safe Most Detet Pakashal Yang Ancol Banyk Yang On,positif,0.25
"['sangat', 'kecewa', 'aplikasi', 'yg', 'baik', 'nyata', 'sulit', 'laku', 'top', 'up', 'maxim', 'e', 'wallet', 'kaspro', 'developer', 'mohon', 'baik', 'segala', 'sistem', 'yg', 'hubung', 'bayar', 'non', 'tunai', 'top', 'up', 'saldo', 'masuk', 'jam', 'tunggu', 'kasih', 'bintang', 'satu', 'ja', 'terima', 'kasih']","['very', 'disappointed', 'application', 'that', 'good', 'real', 'difficult', 'behavior', 'top', 'up', 'maxim', 'e', ​​','Wallet ',' Kaspro ',' Developer ',' Please ',' Good ',' Everything ',' System ',' Yang ',' Connect ',' Pay ',' Non ',' Cash ',' Top ', 'up', 'balance', 'enter', 'clock', 'wait', 'love', 'star', 'one', 'ja', 'accept', 'love']",very disappointed application that good real difficult behavior top up maxim e ​​Wallet  Kaspro  Developer  Please  Good  Everything  System  Yang  Connect  Pay  Non  Cash  Top  up balance enter clock wait love star one ja accept love,positif,0.9372
"['susah', 'dapet', 'driver', 'mobil', 'daerah', 'jateng', 'mobile', 'map', 'banyak', 'ga', 'mau', 'ngambil', 'kalo', 'masalah', 'harga', 'padahal', 'harga', 'yg', 'tetap', 'pihak', 'maxim', 'payah', 'ga', 'padan', 'sama', 'kompetitor', 'nya']","['difficult', 'get', 'driver', 'car', 'region', 'jateng', 'mobile', 'map', 'many', 'no', 'want', 'take', ','If ',' problem ',' price ',' even though ',' price ',' yang ',' still ',' party ',' maxim ',' pouring ',' no ',' Padan ',' the same ', 'competitors', 'its']",difficult get driver car region jateng mobile map many no want take If  problem  price  even though  price  yang  still  party  maxim  pouring  no  Padan  the same  competitors its,negatif,-0.6808
"['capek', 'banget', 'tiap', 'mau', 'pakai', 'maxim', 'wallet', 'selalu', 'batal', 'sama', 'sistem', 'lot', 'banget', 'asli']","['tired', 'really', 'every', 'want', 'use', 'maxim', 'wallet', 'always', 'canceled', 'the same', 'system', 'lot', ','really ',' original ']",tired really every want use maxim wallet always canceled the same system lot really  original ,positif,0.0699
"['ojek', 'abal', 'banyak', 'tipu']","['motorcycle taxi', 'abal', 'many', 'trickery']",motorcycle taxi abal many trickery,negatif,-0.2732
"['masa', 'sen', 'makan', 'jarak', 'ga', 'nyampe', 'km', 'ongkos', 'nya', 'sampek', 'k']","['period', 'sen', 'eating', 'distance', 'no', 'arrived', 'km', 'cost', 'it', 'sampek', 'k']",period sen eating distance no arrived km cost it sampek k,negatif,-0.296
"['isi', 'saldo', 'maxim', 'wallet', 'bukti', 'transfer', 'saldo', 'nya', 'gak', 'masuk', 'masuk', 'mohon', 'bantu', 'nya']","['contents', 'balance', 'maxim', 'wallet', 'proof', 'transfer', 'balance', 'not', 'no', 'enter', 'enter', 'please', ','Help ',' his']",contents balance maxim wallet proof transfer balance not no enter enter please Help  his,positif,0.7085
"['lama', 'masuk', 'top', 'up', 'nya']","['old', 'enter', 'top', 'up', 'its']",old enter top up its,positif,0.2023
"['tarif', 'kasih', 'kaga', 'kasih', 'kembali', 'njir', 'mana', 'ga', 'konfirmasi', 'sama', 'sekali', 'pake', 'fitur', 'anter', 'obat', 'aja', 'nunggunya', 'jam', 'waktu', 'tunggu', 'paling', 'lama', 'tuh', 'menit', 'kacau', 'dah', 'mana', 'map', 'kaga', 'update', 'pusing', 'kalo', 'mau', 'make']","['tariff', 'love', 'kaga', 'love', 'back', 'njir', 'where', 'no', 'confirm', 'same', 'once', 'use', ''Features', 'anter', 'medicine', 'just', 'waiting for', 'clock', 'time', 'wait', 'most', 'old', 'tuh', 'minutes',' chaotic ', 'dah', 'where', 'map', 'kaga', 'update', 'dizzy', 'if', 'want', 'make']",tariff love kaga love back njir where no confirm same once use Features anter medicine just waiting for clock time wait most old tuh minutes chaotic  dah where map kaga update dizzy if want make,positif,0.5267
"['driver', 'nya', 'ampun', 'kasar', 'bgttitik', 'gak', 'sesuai', 'malah', 'ngomel', 'gila', 'gak', 'tuh']","['driver', '', 'forgive', 'rude', 'rough', 'bgtititik', 'not', 'appropriate', 'instead', 'instead', 'grumble', 'crazy', 'no', 'tuh']]",driver  forgive rude rough bgtititik not appropriate instead instead grumble crazy no tuh,negatif,-0.6705
"['apk', 'minta', 'kode', 'pake', 'no', 'telp', 'kirim', 'kode', 'otppadahal', 'langanan', 'maxim']","['apk', 'ask', 'code', 'use', 'no', 'phone', 'send', 'code', 'OTP even though', 'subscription', 'maxim']",apk ask code use no phone send code OTP even though subscription maxim,negatif,-0.296
"['tipu', 'kasih', 'saldo', 'saldo', 'ga', 'dipake']","['trick', 'love', 'balance', 'balance', 'no', 'use']",trick love balance balance no use,positif,0.4215
"['saldo', 'ga', 'pake', 'huuuuuuu']","['balance', 'no', 'use', 'huuuuuuu']",balance no use huuuuuuu,negatif,-0.296
"['kerja', 'terlalu', 'paksa', 'download', 'pdhl', 'ga', 'niat', 'sama', 'sekali']","['work', 'too', 'forced', 'download', 'pdhl', 'ga', 'intention', 'same', 'once']",work too forced download pdhl ga intention same once,negatif,-0.4588
"['parah', 'mesen', 'udh', 'jam', 'lebih', 'driver', 'gk', 'da', 'yg', 'datang', 'sering', 'nya', 'tolak', 'driver']","['severe', 'mesen', 'udh', 'clock', 'more', 'driver', 'no', 'da', 'that', 'coming', 'often', 'it', ''Reject ',' Driver ']",severe mesen udh clock more driver no da that coming often it Reject  Driver ,negatif,-0.7769
"['driver', 'sopan', 'nunggu', 'suka', 'lamaaa']","['Driver', 'polite', 'waiting', 'like', 'old ’]",Driver polite waiting like old ’,positif,0.3612
"['pihak', 'maxim', 'tindak', 'lanjut', 'tipu', 'soal', 'bayar', 'delivery']","['parties', 'maxim', 'act', 'continued', 'trickery', 'about', 'pay', 'Delivery']",parties maxim act continued trickery about pay Delivery,positif,0.0516
